flight_number,origin,destination,frequency,days,departure_time,arrival_time,effective_date,discontinued_date,suspension_start,suspension_end,notes
350,MIA,TPA,DLY,XXXXXXX,18:30,19:15,,,,,
352,MIA,TPA,DLY,XXXXXXX,19:30,20:15,,,,,
354,MIA,TPA,DLY,XXXXXXX,20:30,21:15,,,,,
252,MIA,DCA,DLY,XXXXXXX,08:45,11:00,,,,,
254,MIA,DCA,DLY,XXXXXXX,15:55,15:59,,,,,
258,MIA,DCA,DLY,XXXXXXX,18:45,21:01,,,,,
-1,MIA,ORD,DLY,XXXXXXX,11:05,12:15,,,,,
189,ROB,DSS,3,--X----,23:10,01:00,,,,,
180,ROB,JNB,145,X--XX--,09:50,18:20,1984-06-04 00:00:00,,,,No Local Traffic On Above Flight
180,ROB,JNB,14,X--X---,09:50,18:20,,1984-05-31 00:00:00,,,No Local Traffic On Above Flight
188,ROB,LOS,2,-X-----,13:45,17:05,,,,,
111,ROB,JFK,367,--X--XX,01:45,06:45,1984-06-06 00:00:00,,,,
181,ROB,JFK,36,--X--X-,01:45,06:45,,1984-06-02 00:00:00,,,
202,MVD,EZE,46,---X-X-,16:15,16:55,,,,,
680,MUN,TXL,x67,XXXXX--,08:05,09:25,,,,,
682,MUN,TXL,DLY,XXXXXXX,08:50,10:10,,,,,
684,MUN,TXL,DLY,XXXXXXX,11:10,12:30,,,,,
686,MUN,TXL,DLY,XXXXXXX,14:40,16:00,,,,,
688,MUN,TXL,DLY,XXXXXXX,17:30,18:50,,,,,
690,MUN,TXL,DLY,XXXXXXX,20:00,21:20,,,,,
692,MUN,TXL,5,----X--,21:15,22:35,,,,,
78,MUN,BUD,35,--X-X--,11:40,12:55,,,,,
78,MUN,DBV,24,-X-X---,11:40,13:05,,,,,
77,MUN,JFK,DLY,XXXXXXX,12:00,14:35,,,,,
76,MUN,ZAG,1246,XX-X-X-,11:30,12:25,,,,,
556,BNA,CLE,DLY,XXXXXXX,11:40,14:00,,,,,
206,NAS,JFK,DLY,XXXXXXX,16:30,19:10,1984-06-01 00:00:00,,,,
206,NAS,JFK,DLY,XXXXXXX,16:30,19:15,,1984-05-31 00:00:00,,,
11,MSY,IAH,DLY,XXXXXXX,07:30,08:30,,,,,
435,MSY,MIA,DLY,XXXXXXX,09:30,12:10,,,,,
728,MSY,MIA,DLY,XXXXXXX,18:35,21:15,,,,,
588,MSY,JFK,DLY,XXXXXXX,12:00,15:49,,,,,
589,MYS,SAT,DLY,XXXXXXX,21:00,22:30,,,,,
920,JFK,ALB,67,-----XX,08:30,09:15,,,,,
943,JFK,ALB,x67,XXXXX--,14:40,15:25,,,,,
926,JFK,ALB,67,-----XX,18:50,19:35,,,,,
918,JFK,ALB,DLY,XXXXXXX,21:15,22:00,,,,,
